year,zip_code,age_group,number_of_visits,age_adjusted_rate,county_fips_code,county
2012,"90278
(33.87132030000049, -118.37072968899969)",AllAges,109,28.4,6037,LOS ANGELES
2012,"90278
(33.87132030000049, -118.37072968899969)",Children (0-17),59,63.9,6037,LOS ANGELES
2012,"90278
(33.87132030000049, -118.37072968899969)",Adults (18+),50,16.1,6037,LOS ANGELES
2012,"90280
(33.94496379700047, -118.19748997399972)",AllAges,384,40.1,6037,LOS ANGELES
2012,"90280
(33.94496379700047, -118.19748997399972)",Children (0-17),187,64.1,6037,LOS ANGELES
2012,"90280
(33.94496379700047, -118.19748997399972)",Adults (18+),197,31.7,6037,LOS ANGELES
2012,"90291
(33.99258071300045, -118.4663762939997)",AllAges,84,36.4,6037,LOS ANGELES
2012,"90291
(33.99258071300045, -118.4663762939997)",Children (0-17),23,59,6037,LOS ANGELES
2012,"90291
(33.99258071300045, -118.4663762939997)",Adults (18+),61,28.5,6037,LOS ANGELES
2012,"90292
(33.98163129900047, -118.4511079449997)",AllAges,62,35.7,6037,LOS ANGELES
2012,"90292
(33.98163129900047, -118.4511079449997)",Children (0-17),,,6037,LOS ANGELES
2012,"90292
(33.98163129900047, -118.4511079449997)",Adults (18+),55,35.1,6037,LOS ANGELES
2012,"90293
(33.95744265300044, -118.43916786999972)",AllAges,24,30.8,6037,LOS ANGELES
2012,"90293
(33.95744265300044, -118.43916786999972)",Children (0-17),,,6037,LOS ANGELES
2012,"90293
(33.95744265300044, -118.43916786999972)",Adults (18+),15,13.9,6037,LOS ANGELES
2012,"90301
(33.95672138200047, -118.35448805799967)",AllAges,279,74.6,6037,LOS ANGELES
2012,"90301
(33.95672138200047, -118.35448805799967)",Children (0-17),125,129,6037,LOS ANGELES
